περιφέρεια;νομός;δήμος;latitude;longitude;station_of_reference
ΠΕΡΙΦΈΡΕΙΑ ΑΤΤΙΚΉΣ;ΑΤΤΙΚΗΣ;ΩΡΩΠΟΥ;38.2456157;23.771523292513955;tanagra
ΠΕΡΙΦΈΡΕΙΑ ΑΤΤΙΚΉΣ;ΑΤΤΙΚΗΣ;ΔΙΟΝΥΣΟΥ;38.11522565;23.896018615936306;athens
ΠΕΡΙΦΈΡΕΙΑ ΑΤΤΙΚΉΣ;ΑΤΤΙΚΗΣ;ΗΛΙΟΥΠΟΛΕΩΣ;37.9579465;23.7382006;athens
ΠΕΡΙΦΈΡΕΙΑ ΑΤΤΙΚΉΣ;ΑΤΤΙΚΗΣ;ΒΑΡΗΣ - ΒΟΥΛΑΣ - ΒΟΥΛΙΑΓΜΕΝΗΣ;37.83569075;23.801851073743503;athens
ΠΕΡΙΦΈΡΕΙΑ ΑΤΤΙΚΉΣ;ΑΤΤΙΚΗΣ;ΠΕΝΤΕΛΗΣ;38.0571337;23.884623664572068;athens
ΠΕΡΙΦΈΡΕΙΑ ΑΤΤΙΚΉΣ;ΑΤΤΙΚΗΣ;ΡΑΦΗΝΑΣ - ΠΙΚΕΡΜΙΟΥ;38.020615899999996;23.953695013476164;athens
ΠΕΡΙΦΈΡΕΙΑ ΑΤΤΙΚΉΣ;ΑΤΤΙΚΗΣ;ΣΑΛΑΜΙΝΑΣ;37.9383706;23.508373587712107;athens
ΠΕΡΙΦΈΡΕΙΑ ΑΤΤΙΚΉΣ;ΑΤΤΙΚΗΣ;ΠΕΙΡΑΙΩΣ;37.946168;23.655947563934912;athens
ΠΕΡΙΦΈΡΕΙΑ ΑΤΤΙΚΉΣ;ΑΤΤΙΚΗΣ;ΑΓΚΙΣΤΡΙΟΥ;37.6937039;23.35005226086773;athens
ΠΕΡΙΦΈΡΕΙΑ ΑΤΤΙΚΉΣ;ΑΤΤΙΚΗΣ;ΑΙΓΙΝΑΣ;37.72436935;23.493810921233717;athens
ΠΕΡΙΦΈΡΕΙΑ ΑΤΤΙΚΉΣ;ΑΤΤΙΚΗΣ;ΚΕΡΑΤΣΙΝΙΟΥ - ΔΡΑΠΕΤΣΩΝΑΣ;37.9663867;23.618190689632105;athens
ΠΕΡΙΦΈΡΕΙΑ ΑΤΤΙΚΉΣ;ΑΤΤΙΚΗΣ;ΑΣΠΡΟΠΥΡΓΟΥ;38.095636299999995;23.59645499255187;athens
ΠΕΡΙΦΈΡΕΙΑ ΑΤΤΙΚΉΣ;ΑΤΤΙΚΗΣ;ΜΑΝΔΡΑΣ - ΕΙΔΥΛΛΙΑΣ;38.1518464;23.36725432105709;tanagra
ΠΕΡΙΦΈΡΕΙΑ ΑΤΤΙΚΉΣ;ΑΤΤΙΚΗΣ;ΜΕΓΑΡΕΩΝ;38.03291265;23.298519227524928;athens
ΠΕΡΙΦΈΡΕΙΑ ΑΤΤΙΚΉΣ;ΑΤΤΙΚΗΣ;ΛΑΥΡΕΩΤΙΚΗΣ;37.7528118;24.018706825909092;lavrio
ΠΕΡΙΦΈΡΕΙΑ ΑΤΤΙΚΉΣ;ΑΤΤΙΚΗΣ;ΣΑΡΩΝΙΚΟΥ;37.76695615;23.9333952413006;lavrio
ΠΕΡΙΦΈΡΕΙΑ ΑΤΤΙΚΉΣ;ΑΤΤΙΚΗΣ;ΜΑΡΑΘΩΝΟΣ;38.1619804;23.9890647164548;athens
ΠΕΡΙΦΈΡΕΙΑ ΑΤΤΙΚΉΣ;ΑΤΤΙΚΗΣ;ΚΡΩΠΙΑΣ;37.874750750000004;23.855900588531505;athens
ΠΕΡΙΦΈΡΕΙΑ ΑΤΤΙΚΉΣ;ΑΤΤΙΚΗΣ;ΠΑΙΑΝΙΑΣ;37.960808799999995;23.85560076782796;athens
ΠΕΡΙΦΈΡΕΙΑ ΑΤΤΙΚΉΣ;ΑΤΤΙΚΗΣ;ΜΑΡΚΟΠΟΥΛΟΥ ΜΕΣΟΓΑΙΑΣ;37.891800399999994;23.96143994621146;lavrio
ΠΕΡΙΦΈΡΕΙΑ ΑΝΑΤΟΛΙΚΉΣ ΜΑΚΕΔΟΝΊΑΣ ΚΑΙ ΘΡΆΚΗΣ;ΡΟΔΟΠΗΣ;ΚΟΜΟΤΗΝΗΣ;41.12078885;25.4426925827456;alexandroupolis
ΠΕΡΙΦΈΡΕΙΑ ΑΝΑΤΟΛΙΚΉΣ ΜΑΚΕΔΟΝΊΑΣ ΚΑΙ ΘΡΆΚΗΣ;ΡΟΔΟΠΗΣ;ΜΑΡΩΝΕΙΑΣ - ΣΑΠΩΝ;41.007639600000005;25.61155325141152;alexandroupolis
ΠΕΡΙΦΈΡΕΙΑ ΑΝΑΤΟΛΙΚΉΣ ΜΑΚΕΔΟΝΊΑΣ ΚΑΙ ΘΡΆΚΗΣ;ΡΟΔΟΠΗΣ;ΑΡΡΙΑΝΩΝ;41.190848700000004;25.70164270848205;alexandroupolis
ΠΕΡΙΦΈΡΕΙΑ ΑΝΑΤΟΛΙΚΉΣ ΜΑΚΕΔΟΝΊΑΣ ΚΑΙ ΘΡΆΚΗΣ;ΡΟΔΟΠΗΣ;ΙΑΣΜΟΥ;41.12433495;25.171303675154924;xanthi
ΠΕΡΙΦΈΡΕΙΑ ΑΝΑΤΟΛΙΚΉΣ ΜΑΚΕΔΟΝΊΑΣ ΚΑΙ ΘΡΆΚΗΣ;ΚΑΒΑΛΑΣ;ΚΑΒΑΛΑΣ;41.019137400000005;24.38512540979381;drama
ΠΕΡΙΦΈΡΕΙΑ ΑΝΑΤΟΛΙΚΉΣ ΜΑΚΕΔΟΝΊΑΣ ΚΑΙ ΘΡΆΚΗΣ;ΚΑΒΑΛΑΣ;ΘΑΣΟΥ;40.9425442;24.4257416;drama
ΠΕΡΙΦΈΡΕΙΑ ΑΝΑΤΟΛΙΚΉΣ ΜΑΚΕΔΟΝΊΑΣ ΚΑΙ ΘΡΆΚΗΣ;ΚΑΒΑΛΑΣ;ΠΑΓΓΑΙΟΥ;40.86186605;24.162286509637013;drama
ΠΕΡΙΦΈΡΕΙΑ ΑΝΑΤΟΛΙΚΉΣ ΜΑΚΕΔΟΝΊΑΣ ΚΑΙ ΘΡΆΚΗΣ;ΚΑΒΑΛΑΣ;ΝΕΣΤΟΥ;41.026108;24.631563562883784;xanthi
ΠΕΡΙΦΈΡΕΙΑ ΑΝΑΤΟΛΙΚΉΣ ΜΑΚΕΔΟΝΊΑΣ ΚΑΙ ΘΡΆΚΗΣ;ΔΡΑΜΑΣ;ΠΑΡΑΝΕΣΤΙΟΥ;41.2666146;24.5002964;drama
ΠΕΡΙΦΈΡΕΙΑ ΑΝΑΤΟΛΙΚΉΣ ΜΑΚΕΔΟΝΊΑΣ ΚΑΙ ΘΡΆΚΗΣ;ΔΡΑΜΑΣ;ΔΡΑΜΑΣ;41.3157063;24.20377824819277;drama
ΠΕΡΙΦΈΡΕΙΑ ΑΝΑΤΟΛΙΚΉΣ ΜΑΚΕΔΟΝΊΑΣ ΚΑΙ ΘΡΆΚΗΣ;ΔΡΑΜΑΣ;ΠΡΟΣΟΤΣΑΝΗΣ;41.15949795;23.92133901119672;drama
ΠΕΡΙΦΈΡΕΙΑ ΑΝΑΤΟΛΙΚΉΣ ΜΑΚΕΔΟΝΊΑΣ ΚΑΙ ΘΡΆΚΗΣ;ΔΡΑΜΑΣ;ΔΟΞΑΤΟΥ;41.0595867;24.222729320746755;drama
ΠΕΡΙΦΈΡΕΙΑ ΑΝΑΤΟΛΙΚΉΣ ΜΑΚΕΔΟΝΊΑΣ ΚΑΙ ΘΡΆΚΗΣ;ΔΡΑΜΑΣ;ΚΑΤΩ ΝΕΥΡΟΚΟΠΙΟΥ;41.3820331;23.897124618645364;nevrokopi
ΠΕΡΙΦΈΡΕΙΑ ΑΝΑΤΟΛΙΚΉΣ ΜΑΚΕΔΟΝΊΑΣ ΚΑΙ ΘΡΆΚΗΣ;ΞΑΝΘΗΣ;ΤΟΠΕΙΡΟΥ;41.00769645;24.821264160729918;xanthi
ΠΕΡΙΦΈΡΕΙΑ ΑΝΑΤΟΛΙΚΉΣ ΜΑΚΕΔΟΝΊΑΣ ΚΑΙ ΘΡΆΚΗΣ;ΞΑΝΘΗΣ;ΑΒΔΗΡΩΝ;41.0435472;24.999907270121952;xanthi
ΠΕΡΙΦΈΡΕΙΑ ΑΝΑΤΟΛΙΚΉΣ ΜΑΚΕΔΟΝΊΑΣ ΚΑΙ ΘΡΆΚΗΣ;ΞΑΝΘΗΣ;ΞΑΝΘΗΣ;41.20875275;24.666052164231886;xanthi
ΠΕΡΙΦΈΡΕΙΑ ΑΝΑΤΟΛΙΚΉΣ ΜΑΚΕΔΟΝΊΑΣ ΚΑΙ ΘΡΆΚΗΣ;ΞΑΝΘΗΣ;ΜΥΚΗΣ;41.2874382;24.978992215850184;xanthi
ΠΕΡΙΦΈΡΕΙΑ ΑΝΑΤΟΛΙΚΉΣ ΜΑΚΕΔΟΝΊΑΣ ΚΑΙ ΘΡΆΚΗΣ;ΕΒΡΟΥ;ΑΛΕΞΑΝΔΡΟΥΠΟΛΗΣ;40.91866315;25.955559788836457;alexandroupolis
ΠΕΡΙΦΈΡΕΙΑ ΑΝΑΤΟΛΙΚΉΣ ΜΑΚΕΔΟΝΊΑΣ ΚΑΙ ΘΡΆΚΗΣ;ΕΒΡΟΥ;ΣΟΥΦΛΙΟΥ;41.179491;26.104395854504716;alexandroupolis
ΠΕΡΙΦΈΡΕΙΑ ΑΝΑΤΟΛΙΚΉΣ ΜΑΚΕΔΟΝΊΑΣ ΚΑΙ ΘΡΆΚΗΣ;ΕΒΡΟΥ;ΣΑΜΟΘΡΑΚΗΣ;40.4511544;25.585657246305097;samothraki
ΠΕΡΙΦΈΡΕΙΑ ΑΝΑΤΟΛΙΚΉΣ ΜΑΚΕΔΟΝΊΑΣ ΚΑΙ ΘΡΆΚΗΣ;ΕΒΡΟΥ;ΟΡΕΣΤΙΑΔΑΣ;41.58866275;26.373318009723477;orestiada
ΠΕΡΙΦΈΡΕΙΑ ΑΝΑΤΟΛΙΚΉΣ ΜΑΚΕΔΟΝΊΑΣ ΚΑΙ ΘΡΆΚΗΣ;ΕΒΡΟΥ;ΔΙΔΥΜΟΤΕΙΧΟΥ;41.4088606;26.396907956446306;orestiada
ΠΕΡΙΦΈΡΕΙΑ ΚΕΝΤΡΙΚΉΣ ΜΑΚΕΔΟΝΊΑΣ;ΘΕΣΣΑΛΟΝΙΚΗΣ;ΘΕΣΣΑΛΟΝΙΚΗΣ;40.6194542;22.96763099125139;thessaloniki
ΠΕΡΙΦΈΡΕΙΑ ΚΕΝΤΡΙΚΉΣ ΜΑΚΕΔΟΝΊΑΣ;ΘΕΣΣΑΛΟΝΙΚΗΣ;ΠΥΛΑΙΑΣ-ΧΟΡΤΙΑΤΗ;40.622092949999995;23.071325018087663;thessaloniki
